1956 0.58
1957 4.63
1958 0.67
1959 0.39
1960 0.45
1961 0.48
1962 0.9
1963 2.87
1964 3.1
1965 3.33
1966 3.35
1967 2.17
1968 2.63
1969 2.29
1970 4.64
1971 4.67
1972 5.22
1973 6.07
1974 9.52
1975 10.71
1976 9.82
1977 6.73
1978 3.1
1979 4.54
1980 6.3
1981 8.06
1982 9.34
1983 8.69
1984 6.47
1985 4.09
1986 0.31
1987 -0.06
1988 1.44
1989 3.37
1990 3.25
1991 3.12
1992 3.16
1993 3.59
1994 2.2
1995 1.87
1996 1.18
1997 1.37
1998 0.96
1999 1.02
2000 3.15
2001 2.67
2002 2.07
2003 2.05
2004 2.23
2005 2.49
2006 2.67
2007 2.31
2008 3.41
2009 0.37
2010 2.27
2011 3.41
2012 2.67
2013 1.74
2014 0.63
2015 0.47
2016 0.16
